Symbol,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Initial_Stop,PnL,PnL_Pct,PnL_R,Holding_Days,Won
GLD,2016-02-03,2016-05-24,110.461041947937,117.28827305145263,62,118.43000030517578,420.63627841796915,0.06140774754491597,0.0,111,True
GLD,2016-06-24,2016-08-25,126.45264644165039,126.2173803565979,44,126.30000305175781,-12.343455767821979,-0.0022180861150993022,-1.8378331733182012,62,False
SPY,2016-07-08,2016-09-09,182.581352179179,182.6218879623413,40,184.9950910622566,-0.6393816648960637,-8.753395702825218e-05,0.0,63,False
IWM,2016-07-11,2016-09-09,105.43318337795708,107.40515959396362,49,107.48679990586349,94.60392572706041,0.018308431968823067,0.0,60,True
IWM,2016-11-11,2017-03-21,114.56456898218457,119.49155917053223,40,120.32418958259191,195.34338104113704,0.042619373140283134,0.0,130,True
IWM,2017-04-26,2017-05-17,126.45340518148889,120.6586024887085,73,121.25218357233616,-426.28451001679423,-0.04617090642950822,-1.1227196752337087,21,False
QQQ,2016-12-13,2017-07-03,113.10530202738732,128.6839229232788,81,129.55345623331007,1258.2897872068424,0.13731907657678546,0.0,202,True
SPY,2017-07-14,2017-08-17,214.49968015235518,212.3774875442505,104,212.98414644380404,-227.227551624248,-0.010184444209550463,-1.4416573460237043,34,False
GLD,2017-08-28,2017-09-27,125.8225785583496,121.9678053565979,73,122.48999786376953,-284.66731073455776,-0.0309869065726183,-1.1701298660780441,30,False
QQQ,2017-07-19,2018-02-05,136.42147657405965,150.0454492767334,62,152.575355522786,841.6702041608733,0.09949293999271477,0.0,201,True
SPY,2017-09-11,2018-02-05,218.134820401421,232.91329081420898,74,240.01480124229727,1088.789043553872,0.06744095253533447,0.0,147,True
IWM,2018-01-22,2018-02-05,143.97342694710545,133.71192349090578,82,138.76980783354722,-845.3602948903026,-0.07159324832035893,-1.9811734225598716,14,False
QQQ,2018-03-09,2018-03-23,164.83431618676474,150.65949309082032,22,153.70468216491105,-312.98019137966776,-0.08629323957300356,-1.278242600565762,14,False
IWM,2018-05-16,2018-09-26,145.9007801987909,153.1977371658325,60,153.79888699364224,434.8228225221883,0.049662694709907654,0.0,133,True
QQQ,2018-06-01,2018-10-10,164.63592778319082,163.86848394927978,38,171.88774324559168,-31.17118217405732,-0.004981673526568671,0.0,131,False
SPY,2018-06-06,2018-10-10,246.31734776311262,248.8066750717163,44,255.43605208631934,106.47185476099912,0.00982259168388319,0.0,126,True
GLD,2018-12-20,2019-03-01,119.20192144165038,121.86780925369263,110,123.19000244140625,288.39588932800325,0.021990407307425398,0.0,71,True
SPY,2019-04-01,2019-05-13,258.40438274626433,253.67415397338868,38,258.97463815253394,-182.45459003078213,-0.01857851911980385,0.0,42,False
IWM,2019-05-03,2019-05-13,145.11463127519755,139.07785718078614,152,141.74274544679784,-924.9493790423694,-0.04192661765255291,-1.8046854469154725,10,False
SPY,2019-06-20,2019-08-01,267.0050533052993,267.59616251220706,25,267.9495668961661,12.941226972006916,0.0019384574759145137,0.0,42,True
GLD,2019-06-05,2019-09-13,125.9425933052063,140.13597889709473,83,140.16000366210938,1174.1825401748647,0.1123070429808122,0.0,100,True
QQQ,2020-02-04,2020-02-25,222.15976945333378,207.79715033569335,29,209.5644112383435,-418.34282532627003,-0.0649241005822439,-1.1453119808259644,21,False
SPY,2020-02-06,2020-02-25,305.014563296285,286.47241800842284,46,293.9052917226155,-856.5795148534835,-0.061042402303444064,-1.6761939500423866,19,False
GLD,2020-01-03,2020-03-13,148.4548464416504,143.26567077941894,46,147.0500030517578,-240.9639924682633,-0.03527989347744165,-3.7287769583726025,70,False
GLD,2020-04-13,2020-06-05,162.7462687271118,157.99419350738526,18,158.82000732421875,-86.4746859375,-0.02951449407736574,-1.2235938277594223,53,False
IWM,2020-06-05,2020-09-04,141.81449093260002,142.68580323486327,15,142.84953435100368,12.342933957733294,0.005801395756588371,0.0,91,True
SPY,2020-05-26,2020-09-21,278.5075626804548,303.8928559661865,18,308.1830516203431,455.52695380977093,0.09085431682468384,0.0,118,True
QQQ,2020-05-20,2020-10-28,223.82270822382583,263.1038139404297,22,264.873751542491,862.6730787639672,0.17516873516912534,0.0,161,True
IWM,2020-10-08,2021-05-12,153.1495586832538,199.57549943847656,25,202.78934271114477,1159.266694619961,0.30273025298934336,0.0,216,True
SPY,2021-03-15,2021-05-12,370.6925946069211,379.64214673461913,22,384.53139954515456,194.79940839299616,0.02388338641595779,0.0,58,True
SPY,2021-10-21,2021-11-30,427.16664963133337,429.37145675354003,20,431.49758222572393,41.98306577327094,0.0049135256387102325,0.0,40,True
QQQ,2021-10-29,2021-12-03,376.4926693336967,373.07749564819335,14,376.6401703862213,-49.14182936039197,-0.009322058038134639,0.0,35,False
SPY,2021-12-27,2022-01-20,451.9297615313934,422.5471880767822,17,427.0447975842269,-501.3303545625531,-0.06524558142335932,-1.1850537906838563,24,False
GLD,2021-11-10,2022-04-27,173.9973937271118,175.9623977279663,54,176.8699951171875,103.14043209228475,0.010975493679709432,0.0,168,True
GLD,2022-11-11,2023-02-09,164.216416947937,173.01269577941895,37,173.1199951171875,323.47456578063975,0.053229449724475415,0.0,90,True
GLD,2023-03-17,2023-05-18,184.2084214416504,181.82181233825685,32,183.22000122070312,-78.18278730468683,-0.01326125707220872,-2.4718354111877514,62,False
IWM,2023-12-04,2024-01-16,181.19575995668046,186.5048919570923,27,186.97317751166383,141.81377080755829,0.028982725388155002,0.0,43,True
GLD,2023-10-19,2024-01-17,183.44833567504884,185.82141233825683,34,186.55999755859375,78.74908858642539,0.012623673379317883,0.0,90,True
QQQ,2023-11-14,2024-04-15,382.0935191172445,426.87228652954104,11,428.012890160029,491.45657421448686,0.11691439981912083,0.0,153,True
SPY,2024-02-02,2024-04-15,481.8378177620754,493.76046398620605,19,497.4024012478183,224.29663923932276,0.024497166102143718,0.0,73,True
GLD,2024-03-05,2024-06-07,198.0998098312378,211.57884610290526,36,214.1999969482422,483.0504577514648,0.06772368723938499,0.0,94,True
QQQ,2024-05-15,2024-07-24,448.4016163128403,459.6076601257324,13,470.1287097527732,144.23815603963703,0.024740959179030433,0.0,70,True
SPY,2024-05-15,2024-07-24,518.7552856253438,531.4701020690918,14,532.7116258646143,176.2571128749214,0.024266340524760885,0.0,70,True
GLD,2024-08-16,2024-11-11,230.17300889587403,242.1157853897095,41,244.25999450683594,486.89744727477955,0.051586606178080766,0.0,87,True
IWM,2024-07-15,2024-12-18,215.34826257818705,218.36224057159424,24,223.2195185627507,70.81456590044945,0.01369955296446311,0.0,156,True
SPY,2024-09-19,2025-01-10,559.4224670054151,573.6949441040039,17,577.1077344863745,240.36580863153904,0.02527159655350328,0.0,113,True
QQQ,2024-12-03,2025-02-27,516.9127222821377,497.6958309082031,14,507.57581496885507,-270.7369285333898,-0.037406787888172206,-2.071173182857742,86,False
SPY,2025-01-23,2025-02-27,602.7922731441231,578.2015734741211,15,583.6362560871698,-370.93198214906806,-0.04101896686051969,-1.2909154724813632,35,False
GLD,2025-02-05,2025-05-14,263.6863696624756,293.13068766174314,24,295.32000732421875,704.8472639648417,0.11136179034666774,0.0,98,True
IWM,2025-08-22,2025-11-17,232.72067676724924,231.95885745849608,24,236.76602747793362,-19.878894120533914,-0.0035586389294324956,0.0,87,False
QQQ,2025-05-15,2025-11-18,518.8571546282848,595.4831703369141,5,596.4015776914192,382.4729045437916,0.14741139893973465,0.0,187,True
SPY,2025-06-03,2025-11-18,591.8652901942852,658.0695014099122,13,659.2619700189845,858.7698219512677,0.11159886833978458,0.0,168,True
